"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"fontLiberation","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.0",NA,NA,NA,NA
"fontquiver","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.1",NA,NA,NA,NA
"forcats","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.5.1",NA,NA,NA,NA
"fs","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.6.2",NA,NA,NA,NA
"furrr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.3",NA,NA,NA,NA
"future","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.32.0",NA,NA,NA,NA
"future.apply","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.9.0",NA,NA,NA,NA
"gargle","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,NA,NA,NA
"gdtools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.4",NA,NA,NA,NA
"generics","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.3",NA,NA,NA,NA
"gert","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.9.2",NA,NA,NA,NA
"ggforce","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.3",NA,NA,NA,NA
"ggplot2","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.3.5",NA,NA,NA,NA
"gh","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.0",NA,NA,NA,NA
"gitcreds","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.2",NA,NA,NA,NA
"globals","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.16.2",NA,NA,NA,NA
"glue","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.6.2",NA,NA,NA,NA
"googledrive","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.0",NA,NA,NA,NA
"googlesheets4","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.0",NA,NA,NA,NA
"gridExtra","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.3",NA,NA,NA,NA
"gtable","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.0",NA,NA,NA,NA
"haven","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.4.3",NA,NA,NA,NA
"highr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.10",NA,NA,NA,NA
"hms","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1.1",NA,NA,NA,NA
