rbve_id,report_namePKO,hostilityGov_None,hostilityGov_VerbalRestrictions,hostilityGov_PhysicalRestrictions,hostilityGov_ViolentRestrictions,hostilityOther_None,hostilityOther_VerbalRestrictions,hostilityOther_PhysicalRestrictions,hostilityOther_ViolentRestrictions,abuseAllegations,abuseInvestigation,sexualViolenceAllegation,sexualViolenceInvestigation,DDRprogress
471,UNMIBH_S/1999/1260,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
470,UNMIBH_S/1999/989,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
469,UNMIBH_S/1999/670,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
468,UNMIBH_S/1999/284,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
467,UNMIBH_S/1998/1174,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
466,UNMIBH_S/1998/862,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
465,UNMIBH_S/1998/491,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
464,UNMIBH_S/1997/966,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
463,UNMIBH_S/1998/227,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
462,UNMIBH_S/1997/649,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
461,UNMIBH_S/1997/468,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
460,UNMIBH_S/1997/224,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
459,UNMIBH_S/1996/1017,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
458,UNMIBH_S/1996/820,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
457,UNMIBH_S/1996/460,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
456,UNMIBH_S/1996/210,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
455,UNOMIG_S/2009/254,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
454,UNOMIG_S/2009/69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
453,UNOMIG_S/2008/631,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
452,UNOMIG_S/2008/480,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
451,UNOMIG_S/2008/219,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
450,UNOMIG_S/2008/38,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
449,UNOMIG_S/2007/588,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
448,UNOMIG_S/2007/439,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
447,UNOMIG_S/2007/182,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
446,UNOMIG_S/2007/15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
445,UNOMIG_S/2006/771,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
444,UNOMIG_S/2006/435,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO_INFO
